name_of_img,labels
Phacellodomus_erythrophthalmus_1_M_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Pycnonotus_erythropthalmos_5_F_Back.png,"[0, 0, 97, 0, 0, 0, 0, 2, 0]"
Pycnonotus_erythropthalmos_4_F_Back.png,"[0, 0, 97, 0, 0, 0, 0, 2, 0]"
Ergaticus_versicolor_6_F_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Ergaticus_versicolor_1_M_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Ergaticus_versicolor_5_F_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Ergaticus_versicolor_4_F_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Oreopsar_bolivianus_3_F_Back.png,"[0, 0, 0, 22, 0, 0, 0, 0, 77]"
Oenanthe_phillipsi_1_M_Back.png,"[0, 7, 0, 63, 28, 0, 0, 0, 1]"
Oenanthe_phillipsi_3_M_Back.png,"[0, 7, 0, 63, 28, 0, 0, 0, 1]"
Oenanthe_phillipsi_4_F_Back.png,"[0, 7, 0, 63, 28, 0, 0, 0, 1]"
Dryoscopus_senegalensis_5_F_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Dryoscopus_senegalensis_2_M_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Wilsonia_canadensis_1_M_Back.png,"[0, 0, 93, 6, 0, 0, 0, 0, 0]"
Wilsonia_canadensis_5_F_Back.png,"[0, 0, 93, 6, 0, 0, 0, 0, 0]"
Rhabdornis_mystacalis_5_F_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Cettia_parens_1_F_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Euschistospiza_dybowskii_3_M_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Euschistospiza_dybowskii_1_M_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Euschistospiza_dybowskii_4_F_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Euschistospiza_dybowskii_2_M_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Euschistospiza_dybowskii_5_F_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Euschistospiza_dybowskii_6_F_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Chlorothraupis_carmioli_6_F_Back.png,"[0, 0, 96, 0, 0, 0, 0, 3, 0]"
Chlorothraupis_carmioli_2_M_Back.png,"[0, 0, 96, 0, 0, 0, 0, 3, 0]"
Chlorothraupis_carmioli_5_F_Back.png,"[0, 0, 96, 0, 0, 0, 0, 3, 0]"
Spiloptila_clamans_1_M_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Spiloptila_clamans_6_F_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Spiloptila_clamans_2_M_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Spiloptila_clamans_3_M_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Spiloptila_clamans_5_F_Back.png,"[0, 0, 0, 14, 0, 85, 0, 0, 0]"
Calandrella_acutirostris_4_F_Back.png,"[0, 0, 0, 0, 27, 0, 0, 0, 72]"
Calandrella_acutirostris_1_M_Back.png,"[0, 0, 0, 0, 27, 0, 0, 0, 72]"
Philentoma_pyrhoptera_2_M_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Philentoma_pyrhoptera_5_F_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Knipolegus_striaticeps_4_F_Back.png,"[0, 0, 96, 3, 0, 0, 0, 0, 0]"
Knipolegus_striaticeps_5_F_Back.png,"[0, 0, 96, 3, 0, 0, 0, 0, 0]"
Knipolegus_striaticeps_2_M_Back.png,"[0, 0, 96, 3, 0, 0, 0, 0, 0]"
Sporophila_luctuosa_3_M_Back.png,"[0, 14, 0, 85, 0, 0, 0, 0, 0]"
Sporophila_luctuosa_6_F_Back.png,"[0, 14, 0, 85, 0, 0, 0, 0, 0]"
Sporophila_luctuosa_5_F_Back.png,"[0, 14, 0, 85, 0, 0, 0, 0, 0]"
Elaenia_flavogaster_1_M_Back.png,"[0, 0, 0, 7, 0, 86, 0, 5, 0]"
Elaenia_flavogaster_5_F_Back.png,"[0, 0, 0, 7, 0, 86, 0, 5, 0]"
Elaenia_flavogaster_4_F_Back.png,"[0, 0, 0, 7, 0, 86, 0, 5, 0]"
Spreo_bicolor_4_F_Back.png,"[0, 90, 0, 9, 0, 0, 0, 0, 0]"
Spreo_bicolor_1_M_Back.png,"[0, 90, 0, 9, 0, 0, 0, 0, 0]"
Pachycephala_soror_3_M_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Pachycephala_soror_1_M_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Pachycephala_soror_5_F_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Pachycephala_soror_2_M_Back.png,"[0, 0, 100, 0, 0, 0, 0, 0, 0]"
Progne_chalybea_4_F_Back.png,"[0, 3, 61, 0, 0, 31, 0, 2, 0]"
Progne_chalybea_3_M_Back.png,"[0, 3, 61, 0, 0, 31, 0, 2, 0]"
Andropadus_tephrolaemus_6_F_Back.png,"[0, 0, 89, 10, 0, 0, 0, 0, 0]"
Andropadus_tephrolaemus_5_F_Back.png,"[0, 0, 89, 10, 0, 0, 0, 0, 0]"
Andropadus_tephrolaemus_1_M_Back.png,"[0, 0, 89, 10, 0, 0, 0, 0, 0]"
Andropadus_tephrolaemus_3_M_Back.png,"[0, 0, 89, 10, 0, 0, 0, 0, 0]"
Phoenicurus_ochruros_1_M_Back.png,"[0, 43, 0, 32, 0, 0, 0, 4, 19]"
Phoenicurus_ochruros_2_M_Back.png,"[0, 43, 0, 32, 0, 0, 0, 4, 19]"
Phoenicurus_ochruros_3_M_Back.png,"[0, 43, 0, 32, 0, 0, 0, 4, 19]"
Phoenicurus_ochruros_4_F_Back.png,"[0, 43, 0, 32, 0, 0, 0, 4, 19]"
